test_auc,test_f1,model_name
0.7135349901200021,0.13641026042580884,Baseline_2
0.6802673747405539,0.15489850419732518,Baseline_2
0.5710124564802149,0.0897759405278125,Baseline_2
0.6975797441574039,0.14125231789166215,Baseline_2
0.6967651962258932,0.15356570959671,Baseline_2
0.6656375729618105,0.14980970712212635,Baseline_2
0.647231140310531,0.15249733865633094,Baseline_2
0.7060643607619697,0.13823899031045814,Baseline_2
0.6966809486945273,0.15381356971528656,Baseline_2
0.6225794874271621,0.16388040644308727,Baseline_2
0.7960315013340986,0.33390176974596153,Baseline_4
0.8039589658319446,0.40424098041267453,Baseline_4
0.8151418210842973,0.3915632347809982,Baseline_4
0.7909380826675111,0.3911542963667111,Baseline_4
0.8116850669904968,0.412889932023448,Baseline_4
0.799898953932242,0.42523816020639293,Baseline_4
0.8101548061316436,0.4066979095461479,Baseline_4
0.8214823307815202,0.42122507541288784,Baseline_4
0.804219469719927,0.3898038238498282,Baseline_4
0.8020252347713506,0.38473851007135956,Baseline_4
0.8828491309219125,0.5589031649341255,Baseline_8
0.8793660233098942,0.5939965941475698,Baseline_8
0.894544838056065,0.5941590566487267,Baseline_8
0.8882290624495303,0.6142085691684599,Baseline_8
0.8892415266520475,0.5808589070043766,Baseline_8
0.8670253144378361,0.53794531229491,Baseline_8
0.8710300081415294,0.5431963104722306,Baseline_8
0.871530276408093,0.5440489944399786,Baseline_8
0.8914743616813183,0.6007807309888846,Baseline_8
0.8731858563904743,0.5331875903227982,Baseline_8
0.9027071156330688,0.6169644117285586,Baseline_16
0.8970526279331095,0.6032982554077311,Baseline_16
0.9178204785913487,0.6150505017042059,Baseline_16
0.9122077483992107,0.6121265035671407,Baseline_16
0.9064593258057475,0.6519488947069415,Baseline_16
0.9180337684536292,0.6342219410809713,Baseline_16
0.9098668241626279,0.618149741982493,Baseline_16
0.912902210971631,0.6431939738144735,Baseline_16
0.899616513355491,0.5958420350951549,Baseline_16
0.9052571298148409,0.6110298512273706,Baseline_16
0.8973440862308512,0.6427208142745362,Baseline_32
0.89413878685051,0.6488502578828541,Baseline_32
0.909902079711265,0.6302514514209868,Baseline_32
0.9103590276825807,0.6589584494933235,Baseline_32
0.918306697179769,0.6186761716898237,Baseline_32
0.9074043428128247,0.621845548480318,Baseline_32
0.9074331284154221,0.6821604133239154,Baseline_32
0.8821529877954009,0.5884568483164326,Baseline_32
0.9027501284946513,0.6255525738842611,Baseline_32
0.8999519192948806,0.6204922944563811,Baseline_32
